******* Consolidated Results ********
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=50, score=0.86605)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=150, bs=20, score=0.86605)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=30, score=0.86605)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=150, bs=50, score=0.86503)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=150, bs=30, score=0.86401)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=30, score=0.86401)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=200, bs=20, score=0.86401)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=50, score=0.86401)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=180, bs=30, score=0.86401)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=25, score=0.86401)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=30, score=0.86299)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=30, score=0.86299)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=25, score=0.86299)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=200, bs=20, score=0.86299)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=30, score=0.86299)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=25, score=0.86196)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=180, bs=50, score=0.86196)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=120, bs=20, score=0.86196)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=200, bs=30, score=0.86196)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=120, bs=30, score=0.86196)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=25, score=0.86196)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=120, bs=25, score=0.86196)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=180, bs=50, score=0.86094)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=20, score=0.86094)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=30, score=0.86094)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=20, score=0.86094)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=30, score=0.86094)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=25, score=0.86094)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=180, bs=20, score=0.85992)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=180, bs=25, score=0.85992)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=100, bs=30, score=0.85992)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=150, bs=30, score=0.85992)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=100, bs=30, score=0.85890)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=80, bs=30, score=0.85890)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=180, bs=25, score=0.85890)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=25, score=0.85890)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=180, bs=25, score=0.85890)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=150, bs=25, score=0.85787)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=20, score=0.85787)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=100, bs=25, score=0.85685)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=150, bs=20, score=0.85685)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=30, score=0.85685)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=180, bs=30, score=0.85685)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=25, score=0.85685)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=100, bs=50, score=0.85685)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=50, score=0.85685)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=25, score=0.85685)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=25, score=0.85685)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=180, bs=25, score=0.85583)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=120, bs=50, score=0.85583)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=200, bs=20, score=0.85583)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=25, score=0.85583)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=30, score=0.85583)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=20, score=0.85481)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=20, score=0.85481)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=25, score=0.85481)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=80, bs=20, score=0.85481)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=50, score=0.85378)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=200, bs=20, score=0.85378)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=120, bs=20, score=0.85378)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=120, bs=30, score=0.85378)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=200, bs=25, score=0.85378)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=200, bs=25, score=0.85378)
